gpa,cum_total_crds,gender,asian,black,hawaiian,hispanic,unknown,white,ethnic_dummy,format_ol,format_blended,sat_math_NEW,sat_verbal_NEW,enroll_count,format_f2f_v_ol,format_f2f_v_blended,format_combined_v_f2f,falsexam,experiment1
2.369,16,1,0,0,0,0,0,1,0,0,1,590,650,3,NA,1,0,88.33000183105469,1
3.896,70,0,NA,NA,NA,NA,NA,NA,NA,0,0,670,570,2,0,0,1,0,1
NA,59,1,0,0,0,0,0,1,0,0,0,NA,NA,3,0,0,1,83.37000274658203,1
2.939,54,1,0,0,0,0,0,1,0,1,0,510,470,2,1,NA,0,0,1
2.987,36,1,0,0,0,0,0,1,0,0,0,700,590,3,0,0,1,86.660003662109375,1
3.071,14,1,1,0,0,0,0,0,1,0,0,800,580,3,0,0,1,86.660003662109375,1
3.437,50,0,0,0,0,0,0,1,0,0,1,690,620,3,NA,1,0,84.98999786376953,1
3.388,29,1,0,1,0,0,0,0,1,0,0,570,570,3,0,0,1,88.33000183105469,1
3.006,85,1,0,0,1,0,0,0,1,0,1,640,490,3,NA,1,0,88.33000183105469,1
3.872,35,0,0,0,0,0,0,1,0,1,0,580,630,3,1,NA,0,81.6500015258789,1
2.917,25,1,0,0,0,0,0,1,0,0,1,580,510,3,NA,1,0,78.22899627685547,1
3.223,37,1,NA,NA,NA,NA,NA,NA,NA,0,1,640,590,3,NA,1,0,76.7300033569336,1
4,18,0,0,0,0,0,0,1,0,0,1,640,590,3,NA,1,0,89.9800033569336,1
3.175,36,1,NA,NA,NA,NA,NA,NA,NA,0,1,530,440,3,NA,1,0,74.94999694824219,1
2.611,28,1,1,0,0,0,0,0,1,0,1,760,400,3,NA,1,0,75.0199966430664,1
NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,700,590,3,NA,1,0,56.759979248046875,1
NA,19,0,1,0,0,0,0,0,1,0,0,800,680,2,0,0,1,73.299957275390625,1
NA,12,0,0,0,0,0,0,1,0,0,1,790,660,3,NA,1,0,81.66899871826172,1
2.927,19,0,0,0,0,0,0,1,0,1,0,640,600,3,1,NA,0,58.27000045776367,1
2.4,35,1,0,0,0,0,0,1,0,1,0,590,490,3,1,NA,0,81.62999725341797,1
3.66,23,0,NA,NA,NA,NA,NA,NA,NA,1,0,700,610,2,1,NA,0,0,1
2.493,134,0,1,0,0,0,0,0,1,1,0,470,480,3,1,NA,0,58.29996871948242,1
3.026,27,0,0,0,0,0,0,1,0,0,1,610,610,3,NA,1,0,78.37999725341797,1
3.043,35,0,1,0,0,0,0,0,1,1,0,680,460,2,1,NA,0,0,1
3.897,48,1,0,0,0,0,0,1,0,0,1,610,660,3,NA,1,0,81.720001220703125,1
3.936,14,1,0,0,0,0,0,1,0,0,0,610,580,3,0,0,1,84.98999786376953,1
